06/01/2022-06:24:08.646687  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:32818 -> 152.136.124.182:80
06/01/2022-06:24:09.155907  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:32822 -> 152.136.124.182:80
06/01/2022-06:35:46.739178  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33102 -> 152.136.124.182:80
06/01/2022-06:35:47.833002  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33106 -> 152.136.124.182:80
06/01/2022-06:35:48.331674  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33110 -> 152.136.124.182:80
06/01/2022-06:35:48.775020  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33114 -> 152.136.124.182:80
06/01/2022-06:35:49.141280  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33118 -> 152.136.124.182:80
06/01/2022-06:35:49.633448  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33122 -> 152.136.124.182:80
06/01/2022-06:35:50.141124  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33126 -> 152.136.124.182:80
06/01/2022-06:36:03.800714  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33140 -> 152.136.124.182:80
06/01/2022-06:41:23.132527  [**] [1:2210054:1] SURICATA STREAM excessive retransmissions [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 120.83.145.4:443 -> 192.168.65.3:55882
06/01/2022-06:44:16.119441  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33460 -> 152.136.124.182:80
06/01/2022-06:44:17.638296  [**] [1:2013028:6] ET POLICY curl User-Agent Outbound [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 192.168.65.3:33464 -> 152.136.124.182:80
06/01/2022-06:47:39.483137  [**] [1:2210029:2] SURICATA STREAM ESTABLISHED invalid ack [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 192.168.65.1:3128 -> 192.168.65.3:59858
